Time;Interval;Min op-reachability (%);Max op-reachability (%);Avg op-reachability (%);Min in-octets (kbit/s);Max in-octets (kbit/s);Avg in-octets (kbit/s);Min in-utilization (%);Max in-utilization (%);Avg in-utilization (%);Min in-errors (%);Max in-errors (%);Avg in-errors (%);Min in-discards (%);Max in-discards (%);Avg in-discards (%);Min out-octets (kbit/s);Max out-octets (kbit/s);Avg out-octets (kbit/s);Min out-utilization (%);Max out-utilization (%);Avg out-utilization (%);Min out-errors (%);Max out-errors (%);Avg out-errors (%);Min out-discards (%);Max out-discards (%);Avg out-discards (%)
1709160600089;300000;100.0;100.0;100.0;;;;;;;;;;;;;;;;;;;;;;;;
1709160900089;300000;;;;0.206907356358;2.9032;0.3336919663115672;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.341971053526;5.011466666667;0.5416608170692799;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709187600089;27000000;100.0;100.0;100.0;;;;;;;;;;;;;;;;;;;;;;;;
1709187900089;27000000;;;;0.206745977513;0.518814560994;0.2725000295559212;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.341096744301;0.768567685677;0.40085810443924613;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709215200089;27600000;100.0;100.0;100.0;;;;;;;;;;;;;;;;;;;;;;;;
1709215500089;27600000;;;;0.0;5.654634536546;0.4265922671529431;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.988398839884;0.8584657700242256;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709242500089;27300000;100.0;100.0;100.0;;;;;;;;;;;;;;;;;;;;;;;;
1709243100089;27600000;;;;0.0;25.906239896541;2.601605772069539;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.375363724539;5.043210328715499;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709247000089;3900000;;;;0.0;5.5808;5.4658265179261685;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.1528;11.902432717003503;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709247600089;5100000;100.0;100.0;100.0;;;;;;;;;;;;;;;;;;;;;;;;
1709274900089;300000;;;;0.0;19.481193255512;2.7082258569736966;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.226977950713;5.231406957644648;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709275200089;300000;100.0;100.0;100.0;;;;;;;;;;;;;;;;;;;;;;;;
1709304300089;29400000;100.0;100.0;100.0;0.0;16.440271932664;3.0160556982879956;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5248;6.404975779218567;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709334000089;29700000;100.0;100.0;100.0;0.0;13.871844660194;2.992469587580551;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.422653721683;6.271376883990304;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709363700089;29700000;100.0;100.0;100.0;0.0;16.401034928849;2.9750077249523295;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.91979301423;6.251246742907467;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709393400089;29700000;100.0;100.0;100.0;0.0;14.656745389841;2.8942517579344567;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.089291491427;6.134284800462865;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709420400089;27000000;100.0;100.0;100.0;0.0;7.151369726055;2.8671508083669894;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.904219156169;6.090040398450693;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709450100089;29700000;100.0;100.0;100.0;0.0;12.405309161541;2.8530360207899386;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.166073162836;6.065606972719277;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709479800089;29700000;100.0;100.0;100.0;0.0;11.615160349854;2.842805281438191;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.227405247813;6.0573558787640405;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709506800089;27000000;100.0;100.0;100.0;0.0;6.743451309738;2.8612177832342094;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.496201519392;6.081397503277181;;;;0.0;0.0;0.0;0.0;0.0;0.0
1709536500089;29700000;100.0;100.0;100.0;0.0;12.280997086436;2.8517797782860472;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.148220064725;6.0564535767021965;;;;0.0;0.0;0.0;0.0;0.0;0.0
