Time;Interval;Min op-reachability (%);Max op-reachability (%);Avg op-reachability (%);Min in-octets (kbit/s);Max in-octets (kbit/s);Avg in-octets (kbit/s);Min in-utilization (%);Max in-utilization (%);Avg in-utilization (%);Min in-errors (%);Max in-errors (%);Avg in-errors (%);Min in-discards (%);Max in-discards (%);Avg in-discards (%);Min out-octets (kbit/s);Max out-octets (kbit/s);Avg out-octets (kbit/s);Min out-utilization (%);Max out-utilization (%);Avg out-utilization (%);Min out-errors (%);Max out-errors (%);Avg out-errors (%);Min out-discards (%);Max out-discards (%);Avg out-discards (%)
1709232900502;300000;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.582341765823;0.004494865743857139;0.0;5.82341765823E-6;4.494865743857139E-8;0.0;0.0;0.0;0.0;0.0;0.0
1709247600502;14700000;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.194438887778;0.0033920922850954605;0.0;1.94438887778E-6;3.392092285095461E-8;0.0;0.0;0.0;0.0;0.0;0.0
1709277300502;29700000;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5824;0.004095736746811263;0.0;5.8240000000000005E-6;4.0957367468112634E-8;0.0;0.0;0.0;0.0;0.0;0.0
1709307000502;29700000;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.2576;0.012610330780113699;0.0;4.257600000000001E-5;1.26103307801137E-7;0.0;0.0;0.0;0.0;0.0;0.0
1709334000502;27000000;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.582341765823;0.00413643346931219;0.0;5.82341765823E-6;4.1364334693121905E-8;0.0;0.0;0.0;0.0;0.0;0.0
1709363700502;29700000;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4296;0.003942140318836172;0.0;4.296E-6;3.942140318836172E-8;0.0;0.0;0.0;0.0;0.0;0.0
1709393400502;29700000;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.428757124288;0.004259440344282337;0.0;4.28757124288E-6;4.259440344282337E-8;0.0;0.0;0.0;0.0;0.0;0.0
1709420400502;27000000;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.582458245825;0.004109482968214689;0.0;5.824582458250001E-6;4.1094829682146893E-8;0.0;0.0;0.0;0.0;0.0;0.0
1709450100502;29700000;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29125825165;0.0038127214332663597;0.0;2.9125825165000006E-6;3.81272143326636E-8;0.0;0.0;0.0;0.0;0.0;0.0
1709479800502;29700000;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5822253324;0.004342151169197805;0.0;5.822253324E-6;4.342151169197805E-8;0.0;0.0;0.0;0.0;0.0;0.0
1709506800502;27000000;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.582458245825;0.003977039934906143;0.0;5.824582458250001E-6;3.9770399349061433E-8;0.0;0.0;0.0;0.0;0.0;0.0
1709536500502;29700000;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.291170882912;0.003796998543835171;0.0;2.91170882912E-6;3.7969985438351713E-8;0.0;0.0;0.0;0.0;0.0;0.0
1709566200502;29700000;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.133226645329;0.032521779293393886;0.0;1.0133226645329E-4;3.252177929339389E-7;0.0;0.0;0.0;0.0;0.0;0.0
